title,company,location,date_posted,description,salary,url
Senior Business Data Scientist,Kinaxis Inc.,"Perungudi, Chennai, Tamil Nadu•Remote",N/A,"About Kinaxis:
About Kinaxis
Elevate your career journey by embracing a new challenge with Kinaxis. We are experts in tech, but it’s really our people who give us passion to always seek ways to do things better. As such, we’re serious about your career growth and professional development, because
People matter
at Kinaxis.
In 1984, we started out as a team of three engineers based in Ottawa, Canada. Today, we have grown to become a global organization with over 2000 employees around the world, and support 40,000+ users in over 100 countries. As a global leader in end-to-end supply chain management, we enable supply chain excellence for all industries. We are expanding our team in Chennai and around the world as we continue to innovate and revolutionize how we support our customers.
Our journey in India began in 2020 and we have been growing steadily since then! Building a high-trust and high-performance culture is important to us and we are proud to be Great Place to Work® CertifiedTM. Our state-of-the-art office, located in the World Trade Centre in Chennai, offers our growing team space for expansion and collaboration.
About the team:
Location
Chennai, India
About the team
As a senior contributor on the Innovation and Data Science team, the Senior Business Data Scientist (BDS) has in-depth professional knowledge and skill in the areas of data science and machine learning to help develop data-driven strategies, insights and solutions to solve Kinaxis customers’ most pressing supply chain challenges. A key collaborator assigned to advanced level and complex projects, the Senior BDS provides expertise and thought leadership in the areas of data analysis, statistical modeling, and machine learning techniques, autonomously leads customer facing projects and may mentor junior BDS team members.
About the role:
What you will do
Develop cutting edge expertise in Kinaxis’ AI/ML capabilities to translate customer’s business needs into actionable insights that can drive business improvements.
Support customer to define and implement value metrics and KPIs that will demonstrate visible business success.
Evaluate, measure and improve models’ outputs to ensure client requirements are met and drive continuous value.
Supervise data validation and analysis and proactively address any data gaps.
Act as an SME in guiding the execution of data workflows and seamlessly collaborate with cross functional teams of Data Scientists, machine learning engineers, data engineers and customer business teams to complete advanced level/complex machine learning projects.
Provide on-going support and thought leadership to customers to continually improve their AI/ML models by demonstrating and delivering value.
Work with multiple teams to shape the product roadmap and provide thought leadership content and points of view on industry trends and user stories.
Work with pre-sales and help shape a point of view for each customer about how the Kinaxis capabilities can best support them.
Be involved in exploring emerging technologies and tools that enhance the organization's data capabilities.
Experience in building Reports/visualizations to share findings and summaries to both clients and internal teams
Technologies we use
Strong technical background in analyzing and validating data, machine learning models or statistics using Python, Spark, SQL in various development environments.
Experience with data visualization tools (e.g., Tableau, Power BI, python) and proficiency in creating impactful visualizations and dashboards.
Advanced experience with relational databases (e.g. Oracle, MySQL, MS Sql Server, PostgreSQL) and Hive, cloud environments. Working knowledge of distributed computing techniques.
Advanced knowledge of Machine learning stack such as Kubernetes, Docker, Project Jupyter, Kafka and workflow engines.
Ability to translate supply chain planning processes to different industry verticals such as Retail, High Tech, etc.
What we are looking for
Bachelor’s degree in engineering, computer science, statistics, mathematics, data science or a related field. Master's degree or equivalent experience preferred.
Minimum of 5 years progressive experience in complex data science, machine learning and/or mathematical modeling environments, driving business insights to solve complex problems.
Ability to understand customers’ businesses and supply chain needs and leverage it to effectively design solutions to drive business value.
Strong understanding of statistical concepts and techniques, such as hypothesis testing, regression analysis, time series analysis, and experimental design.
Excellent communication and interpersonal skills, with the ability to effectively communicate complex technical concepts to non-technical stakeholders, to shape and influence decision-making.
Strong client relationship building and facilitation skills.
Proven ability to work independently and collaboratively in a fast-paced environment, managing multiple projects simultaneously and driving them to completion.
Client facing experience in a consulting role, ideal.
#Senior # LI-KJ
Why join Kinaxis?:
Work With Impact:
Our platform directly helps companies power the world’s supply chains. We see the results of what we do out in the world every day—when we see store shelves stocked, when medications are available for our loved ones, and so much more.
Work with Fortune 500 Brands:
Companies across industries trust us to help them take control of their integrated business planning and digital supply chain. Some of our customers include Ford, Unilever, Yamaha, P&G, Lockheed-Martin, and more.
Social Responsibility at Kinaxis:
Our Diversity, Equity, and Inclusion Committee weighs in on hiring practices, talent assessment training materials, and mandatory training on unconscious bias and inclusion fundamentals. Sustainability is key to what we do and we’re committed to net-zero operations strategy for the long term. We are involved in our communities and support causes where we can make the most impact.
People matter
at Kinaxis and these are some of the perks and benefits we created for our team:
Flexible vacation and Kinaxis Days (company-wide day off on the last Friday of every month)
Flexible work options
Physical and mental well-being programs
Regularly scheduled virtual fitness classes
Mentorship programs and training and career development
Recognition programs and referral rewards
Hackathons
For more information, visit the Kinaxis web site at www.kinaxis.com or the company’s blog at http://blog.kinaxis.com.
Kinaxis welcomes candidates to apply to our inclusive community. We provide accommodations upon request to ensure fairness and accessibility throughout our recruitment process for all candidates, including those with specific needs or disabilities. If you require an accommodation, please reach out to us at recruitmentprograms@kinaxis.com. Please note that this contact information is strictly for accessibility requests and cannot be used to inquire about application statuses.
Kinaxis is committed to ensuring a fair and transparent recruitment process. We use artificial intelligence (AI) tools in the initial step of the recruitment process to compare submitted resumes against the job description, to identify candidates whose education, experience and skills most closely match the requirements of the role. After the initial screening, all subsequent decisions regarding your application, including final selection, are made by our human recruitment team. AI does not make any final hiring decisions.",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=3bd7d041f25c51d8
Senior Data Scientist - AI/ML,ZF,"Chennai, Tamil Nadu",N/A,"Become our next FutureStarter
Are you ready to make an impact? ZF is looking for talented individuals to join our team. As a FutureStarter, you’ll have the opportunity to shape the future of mobility. Join us and be part of something extraordinary!
Senior Data Scientist - AI/ML
Country/Region: IN
Location: Chennai, TN, IN, 600116
Req ID 79914 | GEC Chennai, India, ZF Commercial Vehicle Control Systems India Limited
Senior Data Scientist - AI/ML
About the Team:
ZF COE Team is effectively communicate complex technical concepts related to AI, ML, DL, and RL to both technical and non-technical audiences. This might involve presenting research findings at conferences or writing papers for academic journals.
What you can look forward to as Senior Data Scientist -AI/ML (m/f/d):
Conduct cutting-edge research to identify and develop novel AI/ML methodologies, including Deep Learning (DL) and Reinforcement Learning (RL).
Design and conduct experiments to test hypotheses, validate new approaches, and compare the effectiveness of different ML algorithms.
Analyze data to uncover hidden patterns and relationships that can inform the development of new AI techniques.
Stay at the forefront of the field by keeping abreast of the latest advancements in algorithms, tools, and theoretical frameworks. This might involve researching areas like interpretability of machine learning models or efficient training methods for deep neural networks.
Prototype and explore the potential of advanced machine learning models, including deep learning architectures like convolutional neural networks (CNNs) or recurrent neural networks (RNNs).
Your profile as Senior Data Scientist- AI/ML(m/f/d):
Master's degree in Mathematics, Computer Science or other related technical fields. Phd is good to have.
8+ years of experience in research development, with a strong understanding of data structures and algorithms.
5+ years of experience building and deploying machine learning models in production.
Proven experience with machine learning frameworks like TensorFlow, PyTorch, or scikit-learn.
Experience with distributed computing systems and large-scale data processing.
Why should you choose ZF Group in India?
Innovative Environment:
ZF is at the forefront of technological advancements, offering a dynamic and innovative work environment that encourages creativity and growth.
Diverse and Inclusive Culture:
ZF fosters a diverse and inclusive workplace where all employees are valued and respected, promoting a culture of collaboration and mutual support.
Career Development:
ZF is committed to the professional growth of its employees, offering extensive training programs, career development opportunities, and a clear path for advancement.
Global Presence:
As a part of a global leader in driveline and chassis technology, ZF provides opportunities to work on international projects and collaborate with teams worldwide.
Sustainability Focus:
ZF is dedicated to sustainability and environmental responsibility, actively working towards creating eco-friendly solutions and reducing its carbon footprint.
Employee Well-being:
ZF prioritizes the well-being of its employees, providing comprehensive health and wellness programs, flexible work arrangements, and a supportive work-life balance.
Be part of our ZF team as Senior Data Scientist - AI/ML and apply now!
Contact
Sowmya Nagarathinam
What does DEI (Diversity, Equity, Inclusion) mean for ZF as a company?
At ZF, we continuously strive to build and maintain a culture where inclusiveness is lived and diversity is valued. We actively seek ways to remove barriers so that all our employees can rise to their full potential. We aim to embed this vision in our legacy through how we operate and build our products as we shape the future of mobility.
Find out how we work at ZF:
Job Segment:
R&D, Research Scientist, Scientific, Database, Computer Science, Research, Science, Technology, Engineering",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=f07a3b877d966bde&advn=222520352436567
Senior Member of Technical Staff- Machine Learning & AI,Athenahealth,"Chennai, Tamil Nadu",N/A,"Join us as we work to create a thriving ecosystem that delivers accessible, high-quality, and sustainable healthcare for all.
We are looking for a
Senior Machine Learning Engineer
to join RCM (Revenue Cycle Management) products – managing claims, billing and payment processes for healthcare practices. You will work with the team to develop and deploy machine learning models to automate and optimize RCM processes. This role focuses on developing customized models and innovative solutions which can integrate into enterprise applications, ensuring high reliability, security and scalability by following best practices.
About you:
You love to own important work and find it difficult to turn down a good challenge. You are excited about the latest developments in ML and keep abreast of the latest methods and technologies. You have experience building and evaluating ML models. You have strong communication skills and can work with colleagues from a variety of technical and non-technical backgrounds. Finally, you have a strong interest in improving healthcare.
About the team
The athenaCollector product is a vital component of the athenaOne platform, processing billions in client revenue annually. The Data Science team is bringing machine learning to bear against the hardest problem in revenue cycle management in healthcare. We are working with other engineering leaders in athenaCollector product to build machine learning into our Best in KLAS suite of products to drive innovation and increase automation. Also, this team is responsible to deploy state-of-the-art machine learning models using cloud technologies.
Job Responsibilities
As a member of the athenaCollector Data Science team, you are expected to work on projects within scrum teams of 2-4 people and execute the following:
Identify opportunities for different machine learning techniques and evaluate which are best
Assist in developing and deploying ML-based production services to our clients
Understand and follow conventions and best practices for modeling, coding, architecture, and statistics; and hold other team members accountable for doing so
Apply rigorous testing of statistics, models, and code
Contribute to the development of internal tools and AI team standards
Typical Qualifications:
Bachelors or Masters in relevant field: Math, Computer Science, Data Science, Statistics, or related field
3-5 years of professional hands-on experience in developing, evaluating & deploying machine learning models
Experience with Python, SQL , Unix
Experience with development and implementation of Deep Learning Models with complex neural network architectures is a bonus
Experience with training & fine tuning LLMs & GenAI models is a bonus.
Familiarity with NLP or computer vision techniques
Experience using the AWS ecosystem a bonus, including Kubernetes, Kubeflow or EKS experience
Excellent verbal communication and writing skills
About athenahealth
Our vision:
In an industry that becomes more complex by the day, we stand for simplicity. We offer IT solutions and expert services that eliminate the daily hurdles preventing healthcare providers from focusing entirely on their patients — powered by our vision to create a thriving ecosystem that delivers accessible, high-quality, and sustainable healthcare for all.
Our company culture:
Our talented
employees — or athenistas, as we call ourselves — spark the innovation and passion needed to accomplish our vision. We are a diverse group of dreamers and do-ers with unique knowledge, expertise, backgrounds, and perspectives. We unite as mission-driven problem-solvers with a deep desire to achieve our vision and make our time here count. Our award-winning culture is built around shared values of inclusiveness, accountability, and support.
Our DEI commitment:
Our vision of accessible, high-quality, and sustainable healthcare for all requires addressing the inequities that stand in the way. That's one reason we prioritize diversity, equity, and inclusion in every aspect of our business, from attracting and sustaining a diverse workforce to maintaining an inclusive environment for athenistas, our partners, customers and the communities where we work and serve.
What we can do for you:
Along with health and financial benefits, athenistas enjoy perks specific to each location, including commuter support, employee assistance programs, tuition assistance, employee resource groups, and collaborative
workspaces
—
some offices even welcome dogs.
We also encourage a better work-life balance for athenistas with our flexibility. While we know in-office collaboration is critical to our vision, we recognize that not all work needs to be done within an office environment,
full-time. With consistent communication and digital collaboration tools, athenahealth
enables
employees to find a balance that feels fulfilling and productive for each individual situation.
In addition to our traditional benefits and perks, we sponsor events throughout the year, including book clubs, external speakers, and hackathons. We provide athenistas with a company culture based on learning, the support of an engaged team, and an inclusive environment where all employees are valued.
Learn more about our culture and benefits here: athenahealth.com/careers
https://www.athenahealth.com/careers/equal-opportunity",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=59acf3344d4a2e30&advn=6392630886196903
"Manager, Clinical Data Scientist, CDIS",Pfizer,"Chennai, Tamil Nadu•Hybrid work",N/A,"ROLE SUMMARY
As part of the Clinical Data Sciences (CDS) group, an integral delivery unit within the Clinical Development & Operations (CD&O) organization, the Clinical Data Scientist (CDS) is responsible for timely and high-quality data management deliverables supporting the Pfizer portfolio. The CDS delivers asset level information strategies and services for optimal use and reuse of internal and external information that will advance research, development, and commercialization of the Pfizer portfolio and further precision medicine. The CDS designs, develops, and maintains key data management deliverables used to collect, review, monitor, and ensure the integrity of clinical data, applies standards, data review and query management, and is accountable for quality study data set release and consistency in asset/submission data.
ROLE RESPONSIBILITIES
Serve as Clinical Data Scientist and Trial Lead for one or more clinical trials assuming responsibility for all CDS activities including selection and application of data acquisition standards, Data Management Plan, selection of quality risk indicators, third party study data due diligence
Serve as a technical resource to the study teams for DM and RBM standards, tools, data provisioning, and reporting
Partners with Research/Business Units, external DM service providers and internal CDS staff to deliver high quality data management for all studies as assigned.
Proactively drives quality and efficiency to meet timeline and milestones for data management, ensuring scientific and operational excellence in support of strategic imperatives and in collaboration with the cross functional study team (s).
Ensure work carried out by or on behalf of CDS is in accordance with applicable SOPs and working practices.
Participates and ensures quality database design including documentation, testing and implementation of clinical data collection tools, both CRF and non-CRF, using an electronic data capture (EDC) system and/or other data collection systems.
Ensure the required study specific CDS documents in the Trial Master File (TMF) are of high quality and are filed contemporaneously.
Ensure operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity monitoring, data cleaning, e-data processing, data access and visualization, and database release.
Work Location Assignment: Hybrid
Pfizer is an equal opportunity employer and complies with all applicable equal employment opportunity legislation in each jurisdiction in which it operates.
Medical",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=43848041b2220a18
Director of AI,OneMagnify,"Chennai, Tamil Nadu",N/A,"amplify real-time results, and help set their clients apart from their competitors. OneMagnify partners with clients to design, implement and manage marketing and brand strategies using analytical and predictive data models that provide valuable customer insights to drive higher levels of sales conversion.
OneMagnify’s commitment to employee growth and development extends far beyond typical approaches. We take great pride in fostering an environment where each of our 700+ colleagues can thrive and achieve their personal best. OneMagnify has been recognized as a Top Workplace, Best Workplace and Cool Workplace in the United States for 10 consecutive years and recently was recognized as a Top Workplace in India.
We’re looking for a Director of Artificial Intelligence to define, lead, and implement innovative AI strategies across all business functions, driving transformative outcomes and measurable results. You will establish strategic priorities for AI initiatives—ranging from foundational research to applied AI solutions—while optimizing resources and driving return on investment. Additionally, you will encourage team growth and expertise, enabling the expansion of AI capabilities across the organization and fostering a culture of innovation and continuous improvement.
About You:
Transformative leader who drives collaborative, user-centered solutions
Lifelong learner up-to-date with AI trends and expert at engaging presentations
Trusted advisor and senior client relationship builder
Excellent competence in data, artificial intelligence, software engineering, and data science
What you’ll do:
Develops and Implements AI Strategy: Defines the organization's AI vision and roadmap, aligning AI initiatives with business goals to drive innovation, efficiency, and measurable value across products, services, and operations.
Leads AI Research and Development: Manages the design, development, and deployment of AI models and solutions, including machine learning, natural language processing, computer vision, and generative AI systems.
Builds and Scales AI Teams: Leads, mentors, and grows cross-functional AI and data science teams, encouraging a culture of collaboration, innovation, and continuous learning.
Ensures Ethical and Responsible AI Use: Establishes guidelines and processes to ensure AI solutions are transparent, fair, and aligned with ethical standards, industry regulations, and privacy requirements.
Collaborates with engineering, product, and business collaborators to find opportunities for AI adoption, improve processes, and deliver solutions that address complex business challenges.
What you’ll need:
Over 10 years of experience leading AI and machine learning initiatives. Proven track record in crafting, developing, and deploying large-scale AI solutions for businesses.
Technical Expertise: Deep understanding of AI technologies, including machine learning, deep learning, natural language processing (NLP), computer vision, and generative AI frameworks.
Strategic Leadership: Demonstrated ability to define and complete AI strategies that align with business goals, drive measurable value, and build transformative outcomes. Experience in managing cross-functional teams and encouraging a culture of innovation.
Strong Business Insight: Demonstrated ability to connect technical capabilities with business goals, finding opportunities for AI integration in different areas and explaining complex AI concepts to non-technical collaborators.
Educational Background: Advanced degree (Master’s or Ph.D.) in Computer Science, Artificial Intelligence, Data Science, or a related field; equivalent experience may be considered. Additional certifications in AI/ML frameworks are a plus.",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=671d0867907bce90
Senior Data Scientist,Nuivio Ventures,"Chennai, Tamil Nadu",N/A,"Location:
CHENNAI, TAMILNADU
Salary Range:
Description:
About the Role:
A highly skilled and experience
d Data Scientist with 6 years of hands-on experience
in developing machine learning models, performing data analysis, and driving data-driven decision-making. The ideal candidate will have strong expertise in
Python, SQL, Machine Learning, and Data Analytics
, with a passion for transforming complex data into actionable insights. Experience in data storytelling and knowledge of
Tableau
is a strong plus.
Key Responsibilities:
Design, develop, and deploy robust machine learning models to solve business problems.
Analyze large datasets to identify trends, patterns, and actionable insights.
Collaborate with cross-functional teams to understand business objectives and data requirements.
Write complex SQL queries to extract, clean, and manipulate data.
Present findings and insights through compelling data storytelling to both technical and non-technical stakeholders.
Maintain and improve existing models and data pipelines.
(Optional) Create dashboards and visualizations using Tableau.
Required Skills & Qualifications:
Bachelor’s or Master’s degree in Computer Science, Data Science, Statistics, Mathematics, or related field.
6+ years of industry experience as a Data Scientist.
Proficiency in
Python
for data manipulation, analysis, and machine learning.
Strong understanding of
machine learning algorithms,
model evaluation, and tuning.
Advanced
SQL
skills for querying and transforming data.
Expertise in
data analytics
and deriving actionable business insights.
3+ years of experience in building, deploying, and maintaining
forecasting (ARIMA, SARIMA), segmentation and propensity models.
Good understanding of
statistical hypotheses testing
to assess the performance of A|B/Multi-Variate testing.
Excellent
data storytelling
and communication skills.
Experience working with large datasets and structured/unstructured data.
Nice to Have:
Knowledge of
Tableau.
Experience with cloud platforms (Databricks).",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=c73ee6837ad78e53
Data Scientist- Pytorch/ TensorFlow,UPS,"Chennai, Tamil Nadu",N/A,"Before you apply to a job, select your language preference from the options available at the top right of this page.
Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.
Job Description:
JOB SUMMARY
This position creates and implements advanced analytics models and solutions to yield predictive and prescriptive insights from large volumes of structured and unstructured data. This position works with a team responsible for the research and implementation of predictive requirements by leveraging industry standard machine learning and data visualization tools to draw insights that empower confident decisions and product creation. This position leverages emerging tools and technologies available in On-prem and Cloud environments. This position utilizes industry standard machine learning and data visualization tools to transform data and analytics requirements into predictive solutions and provide data literacy on a range of machine learning systems at UPS. This position identifies opportunities for driving descriptive to predictive and prescriptive solutions, which become inputs to department and project teams on their decisions supporting projects.
RESPONSIBILITIES
Defines key data sources from UPS and external sources to deliver models.
Develops and implements pipelines that facilitates data cleansing, data transformations, data enrichments from multiple sources (internal and external) that serve as inputs for data and analytics systems.
For larger teams, works with data engineering teams to validate and test data and model pipelines identified during proof of concepts
Develops data design based on the exploratory analysis of large amounts of data to discover trends and patterns that meet stated business needs.
Defines model key performance indicator (KPI) expectations and validation, testing, and re-training of existing models to meet business objectives.
Reviews and creates repeatable solutions through written project documentation, process flowcharts, logs, and commented clean code to produce datasets that can be used in analytics and/or predictive modeling.
Synthesizes insights and documents findings through clear and concise presentations and reports to stakeholders.
Presents operationalized analytic findings and provides recommendations.
Incorporates best practices on the use of statistical modeling, machine learning algorithms, distributed computing, cloud-based AI technologies, and run time performance tuning with the goal of deployment and market introduction
Leverages emerging tools and technologies together with the use of open-source or vendor products in the creation and delivery of insights that support predictive and prescriptive solutions.
QUALIFICATIONS
Requirements:
Ability to take a data science problem from start to finish, use pytorch/tensorflow to build the full model product.
Strong analytical skills and attention to detail.
Able to engage key business and executive-level stakeholders to translate business problems to high level analytics solution approach.
Expertise with statistical techniques, machine learning or operations research and their application in business applications.
Expertise in R, SQL, Python.
Deep understanding of data management pipelines and experience in launching moderate scale advanced analytics projects in production at scale.
Demonstrated experience in Cloud-AI technologies and knowledge of environments both in Linux/Unix and Windows.
Experience implementing open-source technologies and cloud services; with or without the use of enterprise data science platforms.
Solid oral and written communication skills, especially around analytical concepts and methods.
Ability to communicate data through a story framework to convey data-driven results to technical and non-technical audience.
Master’s Degree in a quantitative field of mathematics, computer science, physics, economics, engineering, statistics (operations research, quantitative social science, etc.), international equivalent, or equivalent job experience.
Preferences:
Familiarity with Java or C++
Employee Type:
Permanent
UPS is committed to providing a workplace free of discrimination, harassment, and retaliation.",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=873d7c321c70059a
Data Scientist- Pytorch/ TensorFlow,UPS,"Chennai, Tamil Nadu",N/A,"Before you apply to a job, select your language preference from the options available at the top right of this page.
Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.
Job Description:
JOB SUMMARY
This position creates and implements advanced analytics models and solutions to yield predictive and prescriptive insights from large volumes of structured and unstructured data. This position works with a team responsible for the research and implementation of predictive requirements by leveraging industry standard machine learning and data visualization tools to draw insights that empower confident decisions and product creation. This position leverages emerging tools and technologies available in On-prem and Cloud environments. This position utilizes industry standard machine learning and data visualization tools to transform data and analytics requirements into predictive solutions and provide data literacy on a range of machine learning systems at UPS. This position identifies opportunities for driving descriptive to predictive and prescriptive solutions, which become inputs to department and project teams on their decisions supporting projects.
RESPONSIBILITIES
Defines key data sources from UPS and external sources to deliver models.
Develops and implements pipelines that facilitates data cleansing, data transformations, data enrichments from multiple sources (internal and external) that serve as inputs for data and analytics systems.
For larger teams, works with data engineering teams to validate and test data and model pipelines identified during proof of concepts
Develops data design based on the exploratory analysis of large amounts of data to discover trends and patterns that meet stated business needs.
Defines model key performance indicator (KPI) expectations and validation, testing, and re-training of existing models to meet business objectives.
Reviews and creates repeatable solutions through written project documentation, process flowcharts, logs, and commented clean code to produce datasets that can be used in analytics and/or predictive modeling.
Synthesizes insights and documents findings through clear and concise presentations and reports to stakeholders.
Presents operationalized analytic findings and provides recommendations.
Incorporates best practices on the use of statistical modeling, machine learning algorithms, distributed computing, cloud-based AI technologies, and run time performance tuning with the goal of deployment and market introduction
Leverages emerging tools and technologies together with the use of open-source or vendor products in the creation and delivery of insights that support predictive and prescriptive solutions.
QUALIFICATIONS
Requirements:
Ability to take a data science problem from start to finish, use pytorch/tensorflow to build the full model product.
Strong analytical skills and attention to detail.
Able to engage key business and executive-level stakeholders to translate business problems to high level analytics solution approach.
Expertise with statistical techniques, machine learning or operations research and their application in business applications.
Expertise in R, SQL, Python.
Deep understanding of data management pipelines and experience in launching moderate scale advanced analytics projects in production at scale.
Demonstrated experience in Cloud-AI technologies and knowledge of environments both in Linux/Unix and Windows.
Experience implementing open-source technologies and cloud services; with or without the use of enterprise data science platforms.
Solid oral and written communication skills, especially around analytical concepts and methods.
Ability to communicate data through a story framework to convey data-driven results to technical and non-technical audience.
Master’s Degree in a quantitative field of mathematics, computer science, physics, economics, engineering, statistics (operations research, quantitative social science, etc.), international equivalent, or equivalent job experience.
Preferences:
Familiarity with Java or C++
Employee Type:
Permanent
UPS is committed to providing a workplace free of discrimination, harassment, and retaliation.",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=873d7c321c70059a
Data Scientist- Pytorch/ TensorFlow,UPS,"Chennai, Tamil Nadu",N/A,"Before you apply to a job, select your language preference from the options available at the top right of this page.
Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.
Job Description:
JOB SUMMARY
This position creates and implements advanced analytics models and solutions to yield predictive and prescriptive insights from large volumes of structured and unstructured data. This position works with a team responsible for the research and implementation of predictive requirements by leveraging industry standard machine learning and data visualization tools to draw insights that empower confident decisions and product creation. This position leverages emerging tools and technologies available in On-prem and Cloud environments. This position utilizes industry standard machine learning and data visualization tools to transform data and analytics requirements into predictive solutions and provide data literacy on a range of machine learning systems at UPS. This position identifies opportunities for driving descriptive to predictive and prescriptive solutions, which become inputs to department and project teams on their decisions supporting projects.
RESPONSIBILITIES
Defines key data sources from UPS and external sources to deliver models.
Develops and implements pipelines that facilitates data cleansing, data transformations, data enrichments from multiple sources (internal and external) that serve as inputs for data and analytics systems.
For larger teams, works with data engineering teams to validate and test data and model pipelines identified during proof of concepts
Develops data design based on the exploratory analysis of large amounts of data to discover trends and patterns that meet stated business needs.
Defines model key performance indicator (KPI) expectations and validation, testing, and re-training of existing models to meet business objectives.
Reviews and creates repeatable solutions through written project documentation, process flowcharts, logs, and commented clean code to produce datasets that can be used in analytics and/or predictive modeling.
Synthesizes insights and documents findings through clear and concise presentations and reports to stakeholders.
Presents operationalized analytic findings and provides recommendations.
Incorporates best practices on the use of statistical modeling, machine learning algorithms, distributed computing, cloud-based AI technologies, and run time performance tuning with the goal of deployment and market introduction
Leverages emerging tools and technologies together with the use of open-source or vendor products in the creation and delivery of insights that support predictive and prescriptive solutions.
QUALIFICATIONS
Requirements:
Ability to take a data science problem from start to finish, use pytorch/tensorflow to build the full model product.
Strong analytical skills and attention to detail.
Able to engage key business and executive-level stakeholders to translate business problems to high level analytics solution approach.
Expertise with statistical techniques, machine learning or operations research and their application in business applications.
Expertise in R, SQL, Python.
Deep understanding of data management pipelines and experience in launching moderate scale advanced analytics projects in production at scale.
Demonstrated experience in Cloud-AI technologies and knowledge of environments both in Linux/Unix and Windows.
Experience implementing open-source technologies and cloud services; with or without the use of enterprise data science platforms.
Solid oral and written communication skills, especially around analytical concepts and methods.
Ability to communicate data through a story framework to convey data-driven results to technical and non-technical audience.
Master’s Degree in a quantitative field of mathematics, computer science, physics, economics, engineering, statistics (operations research, quantitative social science, etc.), international equivalent, or equivalent job experience.
Preferences:
Familiarity with Java or C++
Employee Type:
Permanent
UPS is committed to providing a workplace free of discrimination, harassment, and retaliation.",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=873d7c321c70059a
Assistant Manager - Data Science,LatentView Analytics,"Chennai, Tamil Nadu",N/A,"Designation: Assistant Manager - Data Science
Experience: 6 to 8 years
Location: Bengaluru, Karnataka, India (BLR)
Job Description:
Machine Learning with Lead Scoring Techniques, Prompt Engineering, Python.
Stakeholder Management, Presenting findings to leadership team
Responsibilities:
Responsibilities:
Machine Learning with Lead Scoring techniques
Data Preparation:
Clean, preprocess, and engineer features from diverse data sources, such as website interactions, engagement metrics, and demographic information, to make them usable by ML models
Model Development:
Build, train, and evaluate machine learning models, such as logistic regression, to predict lead conversion probability based on historical sales data.
Model Deployment & Maintenance:
Integrate ML models into existing CRM and sales platforms, ensuring they are continuously updated and performing optimally
Performance Analysis:
Monitor model performance, analyze results, and iterate on models to improve accuracy and effectiveness over time.
Prompt Engineering:
Crafting effective prompts to elicit desired responses from LLMs and leveraging techniques like Retrieval Augmented Generation (RAG).
Model Evaluation:
Developing and implementing evaluation frameworks to assess the performance of LLMs using both quantitative and qualitative metrics.
Programming Skills:
Proficiency in programming languages used for data science, such as Python, including relevant libraries like scikit-learn.
Skills:
6 to 8 years in the Data Science domain
Machine Learning with Lead Scoring techniques, Prompt Engineering, Python
Job Snapshot
Updated Date
04-09-2025
Job ID
J_4081
Location
Chennai, Tamil Nadu, India
Experience
6 - 8 Years
Employee Type
Permanent",Not specified,https://in.indeed.com/jobs?q=Data+Scientist&l=Chennai&vjk=58e7d116d42af18d
