title,company,location,date_posted,description,salary,url
द्वैभाषिक अनुवादक (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"DataAnnotation उच्च दर्जाची कृत्रिम बुद्धिमत्ता (AI) विकसित करण्यासाठी वचनबद्ध आहे. रिमोट कामाची लवचिकता आणि स्वतःची वेळ ठरवण्याची मुभा मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही एका द्वैभाषिक अनुवादकाच्या शोधात आहोत, जो AI चॅटबॉट्सना शिकवेल. तुम्हाला मराठी आणि इंग्रजी दोन्ही भाषांमध्ये चॅटबॉट्सशी संवाद साधावा लागेल, त्यांच्या प्रगतीचे मोजमाप करावे लागेल, तसेच त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहावे लागतील.
फायदे:
ही पूर्णवेळ किंवा अर्धवेळ रिमोट (REMOTE) स्थिती आहे
तुम्हाला कोणते प्रोजेक्ट्सवर काम करायचे आहे ते निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीने वेळापत्रक ठरवून काम करू शकता
प्रोजेक्ट्ससाठी प्रति तास पैसे दिले जातात, $20 USD प्रति तास पासून सुरुवात, आणि उच्च-गुणवत्तेच्या व उच्च-वॉल्युमच्या कामासाठी बोनसही मिळतो
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्हीमध्ये):
विविध विषयांवर वैविध्यपूर्ण संवाद तयार करणे
दिलेल्या प्रॉम्प्टनुसार उच्च दर्जाचे उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI च्या प्रतिसादांचे संशोधन करणे आणि तथ्य पडताळणी करणे
अर्हता:
मराठी आणि इंग्रजी भाषेत प्राविण्य (स्थानिक किंवा द्वैभाषिक स्तर)
स्नातक पदवी (पूर्ण केलेली किंवा चालू)
उत्कृष्ट लेखन आणि व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन व तथ्य पडताळणी कौशल्य
नोंद: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून तुमच्या स्थानिक चलनात रूपांतराची जबाबदारी घेईल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour
Work Location: On the road","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=c42ed026927237f6&advn=7831672186689475
द्विभाषिक भाषिक सल्लागार (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"डेटाअॅनोटेशन दर्जेदार कृत्रिम बुद्धिमत्ता (AI) तयार करण्यासाठी वचनबद्ध आहे. दूरस्थ पद्धतीने काम करण्याची लवचिकता आणि स्वतःचे वेळापत्रक निवडण्याचे स्वातंत्र्य मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही आमच्या टीममध्ये सामील होण्यासाठी आणि AI चॅटबॉट्सना शिकवण्यासाठी एका
द्विभाषिक व्यावसायिकाच्या
शोधात आहोत. तुम्ही मराठी आणि इंग्रजी या दोन्ही भाषांमध्ये चॅटबॉट्ससोबत संवाद साधाल, त्यांची प्रगती मोजाल आणि त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहाल.
फायदे:
हे पूर्णवेळ किंवा अर्धवेळ दूरस्थ (
REMOTE
) पद आहे
तुम्हाला कोणत्या प्रकल्पांवर काम करायचे आहे हे निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीप्रमाणे वेळापत्रक ठरवू शकता
प्रकल्पांना तासाला पैसे दिले जातील, $20 USD प्रति तासापासून सुरुवात, उच्च-गुणवत्तेच्या आणि मोठ्या प्रमाणात केलेल्या कामासाठी बोनस उपलब्ध
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्ही भाषांमध्ये):
विविध विषयांवर वेगवेगळे संवाद तयार करणे
दिलेल्या विशिष्ट सूचनांनुसार उत्कृष्ट उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI प्रतिसादांचे संशोधन व तथ्य पडताळणी करणे
पात्रता:
मराठी + इंग्रजी भाषेत प्रवाहीपणा (मूळ किंवा द्विभाषिक पातळीवर)
बॅचलर पदवी (पूर्ण किंवा चालू)
उत्कृष्ट लेखन व व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन आणि तथ्य पडताळणी कौशल्य
टीप: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून कोणत्याही चलनात रूपांतरण करेल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=b06b2f986852d5f6&advn=7831672186689475
द्विभाषिक शैक्षणिक सामग्री विकासक (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"डेटाअॅनोटेशन दर्जेदार कृत्रिम बुद्धिमत्ता (AI) तयार करण्यासाठी वचनबद्ध आहे. दूरस्थ पद्धतीने काम करण्याची लवचिकता आणि स्वतःचे वेळापत्रक निवडण्याचे स्वातंत्र्य मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही आमच्या टीममध्ये सामील होण्यासाठी आणि AI चॅटबॉट्सना शिकवण्यासाठी एका
द्विभाषिक व्यावसायिकाच्या
शोधात आहोत. तुम्ही मराठी आणि इंग्रजी या दोन्ही भाषांमध्ये चॅटबॉट्ससोबत संवाद साधाल, त्यांची प्रगती मोजाल आणि त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहाल.
फायदे:
हे पूर्णवेळ किंवा अर्धवेळ दूरस्थ (
REMOTE
) पद आहे
तुम्हाला कोणत्या प्रकल्पांवर काम करायचे आहे हे निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीप्रमाणे वेळापत्रक ठरवू शकता
प्रकल्पांना तासाला पैसे दिले जातील, $20 USD प्रति तासापासून सुरुवात, उच्च-गुणवत्तेच्या आणि मोठ्या प्रमाणात केलेल्या कामासाठी बोनस उपलब्ध
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्ही भाषांमध्ये):
विविध विषयांवर वेगवेगळे संवाद तयार करणे
दिलेल्या विशिष्ट सूचनांनुसार उत्कृष्ट उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI प्रतिसादांचे संशोधन व तथ्य पडताळणी करणे
पात्रता:
मराठी + इंग्रजी भाषेत प्रवाहीपणा (मूळ किंवा द्विभाषिक पातळीवर)
बॅचलर पदवी (पूर्ण किंवा चालू)
उत्कृष्ट लेखन व व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन आणि तथ्य पडताळणी कौशल्य
टीप: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून कोणत्याही चलनात रूपांतरण करेल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=31aaf1d912b985d4&advn=7831672186689475
द्वैभाषिक ट्यूटर (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"DataAnnotation उच्च दर्जाची कृत्रिम बुद्धिमत्ता (AI) विकसित करण्यासाठी वचनबद्ध आहे. रिमोट कामाची लवचिकता आणि स्वतःची वेळ ठरवण्याची मुभा मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही एका द्वैभाषिक ट्यूटरच्या शोधात आहोत, जो AI चॅटबॉट्सना शिकवेल. तुम्हाला मराठी आणि इंग्रजी दोन्ही भाषांमध्ये चॅटबॉट्सशी संवाद साधावा लागेल, त्यांच्या प्रगतीचे मोजमाप करावे लागेल, तसेच त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहावे लागतील.
फायदे:
ही पूर्णवेळ किंवा अर्धवेळ रिमोट (REMOTE) स्थिती आहे
तुम्हाला कोणते प्रोजेक्ट्सवर काम करायचे आहे ते निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीने वेळापत्रक ठरवून काम करू शकता
प्रोजेक्ट्ससाठी प्रति तास पैसे दिले जातात, $20 USD प्रति तास पासून सुरुवात, आणि उच्च-गुणवत्तेच्या व उच्च-वॉल्युमच्या कामासाठी बोनसही मिळतो
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्हीमध्ये):
विविध विषयांवर वैविध्यपूर्ण संवाद तयार करणे
दिलेल्या प्रॉम्प्टनुसार उच्च दर्जाचे उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI च्या प्रतिसादांचे संशोधन करणे आणि तथ्य पडताळणी करणे
अर्हता:
मराठी आणि इंग्रजी भाषेत प्राविण्य (स्थानिक किंवा द्वैभाषिक स्तर)
स्नातक पदवी (पूर्ण केलेली किंवा चालू)
उत्कृष्ट लेखन आणि व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन व तथ्य पडताळणी कौशल्य
नोंद: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून तुमच्या स्थानिक चलनात रूपांतराची जबाबदारी घेईल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour
Work Location: On the road","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=2a5b5126de4ff1cb&advn=7831672186689475
AI ट्यूटर (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"DataAnnotation उच्च दर्जाची कृत्रिम बुद्धिमत्ता (AI) विकसित करण्यासाठी वचनबद्ध आहे. रिमोट कामाची लवचिकता आणि स्वतःची वेळ ठरवण्याची मुभा मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही एका AI ट्यूटरच्या शोधात आहोत, जो AI चॅटबॉट्सना शिकवेल. तुम्हाला मराठी आणि इंग्रजी दोन्ही भाषांमध्ये चॅटबॉट्सशी संवाद साधावा लागेल, त्यांच्या प्रगतीचे मोजमाप करावे लागेल, तसेच त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहावे लागतील.
फायदे:
ही पूर्णवेळ किंवा अर्धवेळ रिमोट (REMOTE) स्थिती आहे
तुम्हाला कोणते प्रोजेक्ट्सवर काम करायचे आहे ते निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीने वेळापत्रक ठरवून काम करू शकता
प्रोजेक्ट्ससाठी प्रति तास पैसे दिले जातात, $20 USD प्रति तास पासून सुरुवात, आणि उच्च-गुणवत्तेच्या व उच्च-वॉल्युमच्या कामासाठी बोनसही मिळतो
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्हीमध्ये):
विविध विषयांवर वैविध्यपूर्ण संवाद तयार करणे
दिलेल्या प्रॉम्प्टनुसार उच्च दर्जाचे उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI च्या प्रतिसादांचे संशोधन करणे आणि तथ्य पडताळणी करणे
अर्हता:
मराठी आणि इंग्रजी भाषेत प्राविण्य (स्थानिक किंवा द्वैभाषिक स्तर)
स्नातक पदवी (पूर्ण केलेली किंवा चालू)
उत्कृष्ट लेखन आणि व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन व तथ्य पडताळणी कौशल्य
नोंद: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून तुमच्या स्थानिक चलनात रूपांतराची जबाबदारी घेईल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour
Work Location: On the road","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=c6b380e719e0d9f3&advn=7831672186689475
द्वैभाषिक कंटेंट संपादक (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"DataAnnotation उच्च दर्जाची कृत्रिम बुद्धिमत्ता (AI) विकसित करण्यासाठी वचनबद्ध आहे. रिमोट कामाची लवचिकता आणि स्वतःची वेळ ठरवण्याची मुभा मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही आमच्या टीममध्ये सामील होण्यासाठी एक कंटेंट एडिटर शोधत आहोत, जो AI चॅटबॉट्सना शिकवेल. तुम्हाला मराठी आणि इंग्रजी दोन्ही भाषांमध्ये चॅटबॉट्सशी संवाद साधावा लागेल, त्यांच्या प्रगतीचे मोजमाप करावे लागेल, तसेच त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहावे लागतील.
फायदे:
ही पूर्णवेळ किंवा अर्धवेळ रिमोट (REMOTE) स्थिती आहे
तुम्हाला कोणते प्रोजेक्ट्सवर काम करायचे आहे ते निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीने वेळापत्रक ठरवून काम करू शकता
प्रोजेक्ट्ससाठी प्रति तास पैसे दिले जातात, $20 USD प्रति तास पासून सुरुवात, आणि उच्च-गुणवत्तेच्या व उच्च-वॉल्युमच्या कामासाठी बोनसही मिळतो
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्हीमध्ये):
विविध विषयांवर वैविध्यपूर्ण संवाद तयार करणे
दिलेल्या प्रॉम्प्टनुसार उच्च दर्जाचे उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI च्या प्रतिसादांचे संशोधन करणे आणि तथ्य पडताळणी करणे
अर्हता:
मराठी आणि इंग्रजी भाषेत प्राविण्य (स्थानिक किंवा द्वैभाषिक स्तर)
स्नातक पदवी (पूर्ण केलेली किंवा चालू)
उत्कृष्ट लेखन आणि व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन व तथ्य पडताळणी कौशल्य
नोंद: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून तुमच्या स्थानिक चलनात रूपांतराची जबाबदारी घेईल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour
Work Location: On the road","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=c9deb2e663770035&advn=7831672186689475
रिमोट दुभाषे (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"डेटाअॅनोटेशन दर्जेदार कृत्रिम बुद्धिमत्ता (AI) तयार करण्यासाठी वचनबद्ध आहे. दूरस्थ पद्धतीने काम करण्याची लवचिकता आणि स्वतःचे वेळापत्रक निवडण्याचे स्वातंत्र्य मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही आमच्या टीममध्ये सामील होण्यासाठी आणि AI चॅटबॉट्सना शिकवण्यासाठी एका
द्विभाषिक व्यावसायिकाच्या
शोधात आहोत. तुम्ही मराठी आणि इंग्रजी या दोन्ही भाषांमध्ये चॅटबॉट्ससोबत संवाद साधाल, त्यांची प्रगती मोजाल आणि त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहाल.
फायदे:
हे पूर्णवेळ किंवा अर्धवेळ दूरस्थ (
REMOTE
) पद आहे
तुम्हाला कोणत्या प्रकल्पांवर काम करायचे आहे हे निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीप्रमाणे वेळापत्रक ठरवू शकता
प्रकल्पांना तासाला पैसे दिले जातील, $20 USD प्रति तासापासून सुरुवात, उच्च-गुणवत्तेच्या आणि मोठ्या प्रमाणात केलेल्या कामासाठी बोनस उपलब्ध
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्ही भाषांमध्ये):
विविध विषयांवर वेगवेगळे संवाद तयार करणे
दिलेल्या विशिष्ट सूचनांनुसार उत्कृष्ट उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI प्रतिसादांचे संशोधन व तथ्य पडताळणी करणे
पात्रता:
मराठी + इंग्रजी भाषेत प्रवाहीपणा (मूळ किंवा द्विभाषिक पातळीवर)
बॅचलर पदवी (पूर्ण किंवा चालू)
उत्कृष्ट लेखन व व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन आणि तथ्य पडताळणी कौशल्य
टीप: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून कोणत्याही चलनात रूपांतरण करेल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=f7ea5c37f75c0133&advn=7831672186689475
द्वैभाषिक मार्केटिंग तज्ज्ञ (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"DataAnnotation उच्च दर्जाची कृत्रिम बुद्धिमत्ता (AI) विकसित करण्यासाठी वचनबद्ध आहे. रिमोट कामाची लवचिकता आणि स्वतःची वेळ ठरवण्याची मुभा मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही एका द्वैभाषिक मार्केटिंग तज्ज्ञाच्या शोधात आहोत, जो AI चॅटबॉट्सना शिकवेल. तुम्हाला मराठी आणि इंग्रजी दोन्ही भाषांमध्ये चॅटबॉट्सशी संवाद साधावा लागेल, त्यांच्या प्रगतीचे मोजमाप करावे लागेल, तसेच त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहावे लागतील.
फायदे:
ही पूर्णवेळ किंवा अर्धवेळ रिमोट (REMOTE) स्थिती आहे
तुम्हाला कोणते प्रोजेक्ट्सवर काम करायचे आहे ते निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीने वेळापत्रक ठरवून काम करू शकता
प्रोजेक्ट्ससाठी प्रति तास पैसे दिले जातात, $20 USD प्रति तास पासून सुरुवात, आणि उच्च-गुणवत्तेच्या व उच्च-वॉल्युमच्या कामासाठी बोनसही मिळतो
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्हीमध्ये):
विविध विषयांवर वैविध्यपूर्ण संवाद तयार करणे
दिलेल्या प्रॉम्प्टनुसार उच्च दर्जाचे उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI च्या प्रतिसादांचे संशोधन करणे आणि तथ्य पडताळणी करणे
अर्हता:
मराठी आणि इंग्रजी भाषेत प्राविण्य (स्थानिक किंवा द्वैभाषिक स्तर)
स्नातक पदवी (पूर्ण केलेली किंवा चालू)
उत्कृष्ट लेखन आणि व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन व तथ्य पडताळणी कौशल्य
नोंद: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून तुमच्या स्थानिक चलनात रूपांतराची जबाबदारी घेईल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour
Work Location: On the road","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=046486e6cb9405bc&advn=7831672186689475
द्विभाषिक अॅनोटेटर (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"डेटाअॅनोटेशन दर्जेदार कृत्रिम बुद्धिमत्ता (AI) तयार करण्यासाठी वचनबद्ध आहे. दूरस्थ पद्धतीने काम करण्याची लवचिकता आणि स्वतःचे वेळापत्रक निवडण्याचे स्वातंत्र्य मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही आमच्या टीममध्ये सामील होण्यासाठी आणि AI चॅटबॉट्सना शिकवण्यासाठी एका
द्विभाषिक व्यावसायिकाच्या
शोधात आहोत. तुम्ही मराठी आणि इंग्रजी या दोन्ही भाषांमध्ये चॅटबॉट्ससोबत संवाद साधाल, त्यांची प्रगती मोजाल आणि त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहाल.
फायदे:
हे पूर्णवेळ किंवा अर्धवेळ दूरस्थ (
REMOTE
) पद आहे
तुम्हाला कोणत्या प्रकल्पांवर काम करायचे आहे हे निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीप्रमाणे वेळापत्रक ठरवू शकता
प्रकल्पांना तासाला पैसे दिले जातील, $20 USD प्रति तासापासून सुरुवात, उच्च-गुणवत्तेच्या आणि मोठ्या प्रमाणात केलेल्या कामासाठी बोनस उपलब्ध
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्ही भाषांमध्ये):
विविध विषयांवर वेगवेगळे संवाद तयार करणे
दिलेल्या विशिष्ट सूचनांनुसार उत्कृष्ट उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI प्रतिसादांचे संशोधन व तथ्य पडताळणी करणे
पात्रता:
मराठी + इंग्रजी भाषेत प्रवाहीपणा (मूळ किंवा द्विभाषिक पातळीवर)
बॅचलर पदवी (पूर्ण किंवा चालू)
उत्कृष्ट लेखन व व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन आणि तथ्य पडताळणी कौशल्य
टीप: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून कोणत्याही चलनात रूपांतरण करेल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=8239bc65b3ae9210&advn=7831672186689475
फ्रीलान्स अनुवादक (मराठी/इंग्रजी) - AI प्रशिक्षक,DataAnnotation,Goa,N/A,"डेटाअॅनोटेशन दर्जेदार कृत्रिम बुद्धिमत्ता (AI) तयार करण्यासाठी वचनबद्ध आहे. दूरस्थ पद्धतीने काम करण्याची लवचिकता आणि स्वतःचे वेळापत्रक निवडण्याचे स्वातंत्र्य मिळवत AI चॅटबॉट्सना प्रशिक्षण देण्यासाठी आमच्या टीममध्ये सामील व्हा.
आम्ही आमच्या टीममध्ये सामील होण्यासाठी आणि AI चॅटबॉट्सना शिकवण्यासाठी एका
द्विभाषिक व्यावसायिकाच्या
शोधात आहोत. तुम्ही मराठी आणि इंग्रजी या दोन्ही भाषांमध्ये चॅटबॉट्ससोबत संवाद साधाल, त्यांची प्रगती मोजाल आणि त्यांना काय बोलावे हे शिकवण्यासाठी नवीन संवाद लिहाल.
फायदे:
हे पूर्णवेळ किंवा अर्धवेळ दूरस्थ (
REMOTE
) पद आहे
तुम्हाला कोणत्या प्रकल्पांवर काम करायचे आहे हे निवडण्याची मुभा असेल
तुम्ही तुमच्या सोयीप्रमाणे वेळापत्रक ठरवू शकता
प्रकल्पांना तासाला पैसे दिले जातील, $20 USD प्रति तासापासून सुरुवात, उच्च-गुणवत्तेच्या आणि मोठ्या प्रमाणात केलेल्या कामासाठी बोनस उपलब्ध
जबाबदाऱ्या (मराठी आणि इंग्रजी दोन्ही भाषांमध्ये):
विविध विषयांवर वेगवेगळे संवाद तयार करणे
दिलेल्या विशिष्ट सूचनांनुसार उत्कृष्ट उत्तर लिहिणे
विविध AI मॉडेल्सच्या कार्यक्षमतेची तुलना करणे
AI प्रतिसादांचे संशोधन व तथ्य पडताळणी करणे
पात्रता:
मराठी + इंग्रजी भाषेत प्रवाहीपणा (मूळ किंवा द्विभाषिक पातळीवर)
बॅचलर पदवी (पूर्ण किंवा चालू)
उत्कृष्ट लेखन व व्याकरण कौशल्य
अचूकता आणि मौलिकता सुनिश्चित करण्यासाठी मजबूत संशोधन आणि तथ्य पडताळणी कौशल्य
टीप: पेमेंट PayPal द्वारे केले जाईल. आम्ही तुमच्याकडून कधीही पैसे मागणार नाही. PayPal USD मधून कोणत्याही चलनात रूपांतरण करेल.
#INDMAR
Job Types: Full-time, Part-time
Pay: From ₹1,760.34 per hour","From ₹1,760.34 an hour",https://in.indeed.com/jobs?q=Data+Scientist&l=goa&vjk=8a8bbd8cadfb0aec&advn=7831672186689475
